episode,total_reward,avg_reward,loss,epsilon,timesteps
1,-1522.1124,-0.37957915879247195,,,4010
2,-1098.5464,-0.7524290319991438,,,1460
3,-1572.3336,-0.3921031466743298,,,4010
4,-1572.2928,-0.3920929792218672,,,4010
5,-1569.2131,-0.3913249712632481,,,4010
6,-764.1161,-0.828759315474173,,,922
7,-1571.5333,-0.39190357236790835,,,4010
8,-148.29402,-0.6802478055341528,,,218
9,-1539.154,-0.383828940831515,,,4010
10,-1572.9032,-0.3922451865940617,,,4010
11,-1572.5331,-0.39215288804356296,,,4010
12,-192.22995,-0.7568108265794168,,,254
13,-38.835987,-0.5974767244779147,,,65
14,-44.591984,-0.6370283399309431,,,70
15,-1549.6531,-0.3864471511650561,,,4010
16,-273.95407,-0.7444404104481572,,,368
17,-1572.8136,-0.39222284255182355,,,4010
18,-618.8158,-0.8511909159538342,,,727
19,-59.311993,-0.7146023210272732,,,83
20,-1214.5071,-0.6900608409534801,,,1760
21,-61.21799,-0.7202116573558134,,,85
22,-790.1298,-0.7989179188850797,,,989
23,-129.6999,-0.6685562133789062,,,194
24,-1572.3333,-0.39210305534990647,,,4010
25,-1572.5933,-0.39216789569046134,,,4010
26,-1550.315,-0.38661220483946385,,,4010
27,-1397.366,-0.3951826829176683,,,3536
28,-280.95206,-0.8096601062961546,,,347
29,-47.176003,-0.6552222569783529,,,72
30,-1571.2634,-0.39183626626792395,,,4010
31,-1572.3931,-0.39211797167238155,,,4010
32,-1244.3378,-0.6840779376331432,,,1819
33,-246.26813,-0.7893209212865585,,,312
34,-56.755997,-0.7006913173345872,,,81
35,-1142.3547,-0.7308731518414108,,,1563
36,-1532.8392,-0.406480836223399,,,3771
37,-33.671997,-0.5519999519723361,,,61
38,-458.2399,-0.8053425284387358,,,569
39,-1478.5435,-0.4566224388607937,,,3238
40,-211.22812,-0.7543861389160156,,,280
41,-339.19363,-0.8212920920900803,,,413
42,-1448.0496,-0.4893712607458178,,,2959
43,-402.41794,-0.7438409209471754,,,541
44,-101.563934,-0.6045472281319755,,,168
45,-33.09999,-0.5610167939784163,,,59
46,-745.6061,-0.80432155242887,,,927
47,-225.42809,-0.7615813693484744,,,296
48,-365.29605,-0.7855829054309476,,,465
49,-41.427994,-0.6183282652897621,,,67
50,-869.2204,-0.7551871398342473,,,1151
51,-340.12976,-0.8215694703917572,,,414
52,-1142.9323,-0.7179222682013584,,,1592
53,-33.345993,-0.5557665506998698,,,60
